ID;C2011_2012;Surface;SurfaceVeg
24785;1121;13550;5.925
24785;1121;13550;14.730
24785;1121;13550;10.330
24785;1121;13550;10.748
24785;1121;13550;12.773
24785;1121;13550;0.748
24785;1121;13550;16.110
24785;1121;13550;35.515
24785;1121;13550;48.430
24785;1121;13550;118.870
24785;1121;13550;19.218
24785;1121;13550;10.800
24785;1121;13550;12.140
24785;1121;13550;328.783
24785;1121;13550;148.149
24785;1121;13550;29.007
24785;1121;13550;63.509
24785;1121;13550;55.521
24785;1121;13550;69.654
24785;1121;13550;12.370
24785;1121;13550;94.515
24785;1121;13550;15.288
24785;1121;13550;117.377
24785;1121;13550;21.369
24785;1121;13550;71.924
24785;1121;13550;24.868
24785;1121;13550;0.010
24785;1121;13550;4.012
24785;1121;13550;76.871
24785;1121;13550;11.264
24785;1121;13550;26.202
24785;1121;13550;66.653
24785;1121;13550;408.318
24785;1121;13550;12.766
24785;1121;13550;2.467
24785;1121;13550;100.964
24785;1121;13550;25.920
24785;1121;13550;291.580
24785;1121;13550;292.873
24785;1121;13550;172.524
24785;1121;13550;168.774
24785;1121;13550;2694.436
24785;1121;13550;196.722
24785;1121;13550;872.427
24785;1121;13550;22.177
24785;1121;13550;2.936
24785;1121;13550;105.172
24785;1121;13550;380.818
24785;1121;13550;50.654
24785;1121;13550;548.731
24785;1121;13550;129.058
25148;1121;10090;7.360
25148;1121;10090;86.453
25148;1121;10090;395.327
25148;1121;10090;14.483
25148;1121;10090;60.024
25148;1121;10090;62.025
25148;1121;10090;42.662
25148;1121;10090;23.022
25148;1121;10090;17.291
25148;1121;10090;63.492
25148;1121;10090;11.396
25148;1121;10090;3.427
25148;1121;10090;89.703
25148;1121;10090;19.890
25148;1121;10090;8.595
25148;1121;10090;44.510
25148;1121;10090;23.506
25148;1121;10090;40.701
25148;1121;10090;35.963
25148;1121;10090;16.867
25148;1121;10090;14.440
25148;1121;10090;0.008
25148;1121;10090;26.237
25148;1121;10090;0.059
25148;1121;10090;2.261
25148;1121;10090;827.112
25148;1121;10090;741.847
25148;1121;10090;5.972
25148;1121;10090;109.738
25148;1121;10090;7.000
25148;1121;10090;3.365
25148;1121;10090;5.314
25148;1121;10090;51.886
25148;1121;10090;6.249
25148;1121;10090;47.738
25148;1121;10090;7.101
25148;1121;10090;163.620
25148;1121;10090;34.156
25148;1121;10090;75.794
25148;1121;10090;139.330
25148;1121;10090;5.975
25148;1121;10090;41.967
25148;1121;10090;34.050
25148;1121;10090;8.070
25148;1121;10090;37.952
25148;1121;10090;16.012
25148;1121;10090;87.145
25148;1121;10090;88.343
25148;1121;10090;66.921
25239;1121;5124;31.147
25239;1121;5124;22.603
25239;1121;5124;18.910
25239;1121;5124;4.499
25239;1121;5124;96.928
25239;1121;5124;223.040
25239;1121;5124;67.644
25239;1121;5124;256.663
25239;1121;5124;1150.356
25239;1121;5124;8.756
25239;1121;5124;21.078
25239;1121;5124;6.651
25239;1121;5124;2.364
25239;1121;5124;13.905
25239;1121;5124;18.248
25239;1121;5124;2.420
25239;1121;5124;15.389
25239;1121;5124;47.769
25772;1121;20772;11.442
25772;1121;20772;16.466
25772;1121;20772;6.855
25772;1121;20772;9.655
25772;1121;20772;102.325
25772;1121;20772;37.702
25772;1121;20772;10.104
25772;1121;20772;77.110
25772;1121;20772;18.173
25772;1121;20772;16.170
25772;1121;20772;48.594
25772;1121;20772;177.922
25772;1121;20772;184.422
25772;1121;20772;6.494
25772;1121;20772;1.479
25772;1121;20772;9.380
25772;1121;20772;12.367
25772;1121;20772;363.344
25772;1121;20772;54.669
25772;1121;20772;9.053
25772;1121;20772;221.398
25772;1121;20772;66.615
25772;1121;20772;123.120
25772;1121;20772;14.081
25772;1121;20772;99.132
25772;1121;20772;23.374
25772;1121;20772;1044.610
25772;1121;20772;398.000
25772;1121;20772;27.722
25772;1121;20772;0.709
25772;1121;20772;9.976
