ID;C2011_2012;Surface;SurfaceVeg
30675;1122;16257;2.330
30675;1122;16257;13.464
30675;1122;16257;26.493
30675;1122;16257;23.106
30675;1122;16257;18.575
30675;1122;16257;36.736
30675;1122;16257;31.396
30675;1122;16257;7.070
30675;1122;16257;1.012
30675;1122;16257;10.999
30675;1122;16257;17.059
30675;1122;16257;74.410
30675;1122;16257;16.286
30675;1122;16257;3.473
30675;1122;16257;35.524
30675;1122;16257;45.633
30675;1122;16257;96.925
30675;1122;16257;140.019
30675;1122;16257;9.779
30675;1122;16257;5.242
30675;1122;16257;29.436
30675;1122;16257;18.919
30675;1122;16257;9.477
30675;1122;16257;47.706
30675;1122;16257;148.693
30675;1122;16257;136.202
30675;1122;16257;1.996
30675;1122;16257;0.068
30675;1122;16257;483.548
30675;1122;16257;236.303
30675;1122;16257;1.107
30675;1122;16257;39.310
30675;1122;16257;6.274
30675;1122;16257;12.254
30675;1122;16257;2.020
30675;1122;16257;42.690
30675;1122;16257;47.601
30675;1122;16257;14.615
30675;1122;16257;14.150
30675;1122;16257;14.884
30675;1122;16257;12.331
30675;1122;16257;6.822
30675;1122;16257;28.624
30675;1122;16257;13.336
30675;1122;16257;5.418
30675;1122;16257;10.408
30675;1122;16257;0.162
30675;1122;16257;39.152
30675;1122;16257;5.088
30675;1122;16257;4.981
30675;1122;16257;2.309
30675;1122;16257;35.143
30675;1122;16257;13.380
30675;1122;16257;99.492
30675;1122;16257;29.846
30675;1122;16257;609.190
30675;1122;16257;264.484
30675;1122;16257;42.210
30675;1122;16257;63.510
30675;1122;16257;1240.563
30675;1122;16257;423.399
30675;1122;16257;655.088
30675;1122;16257;4.280
30675;1122;16257;31.406
30675;1122;16257;163.363
30675;1122;16257;6.961
30675;1122;16257;550.460
30675;1122;16257;250.416
30675;1122;16257;8.894
30675;1122;16257;16.930
30675;1122;16257;13.477
30675;1122;16257;0.145
30675;1122;16257;332.722
30675;1122;16257;1.803
30675;1122;16257;60.077
30675;1122;16257;696.704
30675;1122;16257;25.194
30675;1122;16257;158.695
30675;1122;16257;836.918
30675;1122;16257;22.009
30675;1122;16257;15.422
30647;1122;13017;7.932
30647;1122;13017;120.320
30647;1122;13017;76.728
30647;1122;13017;12.116
30647;1122;13017;5.970
30647;1122;13017;17.509
30647;1122;13017;60.110
30647;1122;13017;7.778
30647;1122;13017;27.532
30647;1122;13017;22.570
30647;1122;13017;62.652
30647;1122;13017;18.900
30647;1122;13017;23.244
30647;1122;13017;1.684
30647;1122;13017;406.612
30647;1122;13017;192.314
30647;1122;13017;7.306
30647;1122;13017;52.384
30647;1122;13017;0.004
30647;1122;13017;329.668
30647;1122;13017;2.989
30647;1122;13017;81.950
30647;1122;13017;23.480
30647;1122;13017;61.783
30647;1122;13017;100.389
30647;1122;13017;0.487
30647;1122;13017;109.477
30488;1122;16219;0.038
30488;1122;16219;6.847
30488;1122;16219;33.167
30488;1122;16219;0.376
30488;1122;16219;18.359
30488;1122;16219;0.287
30488;1122;16219;6.001
