ID;C2011_2012;Surface;SurfaceVeg
28623;1123;5372;0
28623;1123;5372;0
28623;1123;5372;0
28623;1123;5372;0
28623;1123;5372;0
28623;1123;5372;0
28623;1123;5372;25
28623;1123;5372;6
28623;1123;5372;28
28623;1123;5372;10
28623;1123;5372;2
28623;1123;5372;77
28623;1123;5372;20
28623;1123;5372;111
28623;1123;5372;133
28623;1123;5372;115
28623;1123;5372;16
28623;1123;5372;6
28623;1123;5372;14
28623;1123;5372;9
28623;1123;5372;50
28623;1123;5372;31
28623;1123;5372;1
28623;1123;5372;25
28623;1123;5372;28
28623;1123;5372;48
28623;1123;5372;14
28623;1123;5372;54
28623;1123;5372;218
28623;1123;5372;148
28623;1123;5372;17
28623;1123;5372;2197
28623;1123;5372;1703
28361;1123;17422;19
28361;1123;17422;168
28361;1123;17422;40
28361;1123;17422;91
28361;1123;17422;36
28361;1123;17422;17
28361;1123;17422;12
28361;1123;17422;18
28361;1123;17422;80
28361;1123;17422;298
28361;1123;17422;148
28361;1123;17422;5
28361;1123;17422;682
28361;1123;17422;316
28361;1123;17422;489
28361;1123;17422;4
28361;1123;17422;105
28361;1123;17422;351
28361;1123;17422;12
28361;1123;17422;10
28361;1123;17422;17
28361;1123;17422;3
28361;1123;17422;14
28361;1123;17422;167
28361;1123;17422;90
28361;1123;17422;6
28361;1123;17422;4
28361;1123;17422;4
28361;1123;17422;0
28361;1123;17422;8
28361;1123;17422;1007
28361;1123;17422;91
28361;1123;17422;8
28361;1123;17422;22
28361;1123;17422;129
28361;1123;17422;1773
28361;1123;17422;519
28361;1123;17422;4
28361;1123;17422;515
28361;1123;17422;897
28361;1123;17422;413
28361;1123;17422;0
28361;1123;17422;6
28361;1123;17422;0
28361;1123;17422;6
28361;1123;17422;7
28361;1123;17422;15
28361;1123;17422;38
28361;1123;17422;6
28361;1123;17422;31
28361;1123;17422;799
28361;1123;17422;1
28361;1123;17422;1110
28361;1123;17422;356
28361;1123;17422;3
28361;1123;17422;489
28361;1123;17422;543
28361;1123;17422;31
30883;1123;5262;38
30883;1123;5262;17
30883;1123;5262;16
30883;1123;5262;21
30883;1123;5262;206
30883;1123;5262;31
30883;1123;5262;11
30883;1123;5262;10
30883;1123;5262;7
30883;1123;5262;28
30883;1123;5262;20
30883;1123;5262;112
30883;1123;5262;11
30883;1123;5262;51
30883;1123;5262;322
30883;1123;5262;582
30883;1123;5262;4
30883;1123;5262;5
30883;1123;5262;33
30883;1123;5262;1
30883;1123;5262;1
30883;1123;5262;109
30883;1123;5262;1188
30883;1123;5262;394
30906;1123;77282;9
30906;1123;77282;0
30906;1123;77282;6
30906;1123;77282;7
30906;1123;77282;7
30906;1123;77282;21
30906;1123;77282;10
30906;1123;77282;9
30906;1123;77282;24
30906;1123;77282;71
30906;1123;77282;246
30906;1123;77282;327
30906;1123;77282;50
30906;1123;77282;8
30906;1123;77282;913
30906;1123;77282;0
30906;1123;77282;9
30906;1123;77282;25
30906;1123;77282;15
30906;1123;77282;11
30906;1123;77282;5
30906;1123;77282;110
30906;1123;77282;8
30906;1123;77282;84
30906;1123;77282;241
30906;1123;77282;19
30906;1123;77282;477
30906;1123;77282;714
30906;1123;77282;8
30906;1123;77282;55
30906;1123;77282;19
30906;1123;77282;301
30906;1123;77282;9
30906;1123;77282;29
30906;1123;77282;6
30906;1123;77282;6
30906;1123;77282;19
30906;1123;77282;2
30906;1123;77282;2
30906;1123;77282;6
30906;1123;77282;13
30906;1123;77282;61
30906;1123;77282;7
30906;1123;77282;8
30906;1123;77282;34
30906;1123;77282;6
30906;1123;77282;24
30906;1123;77282;24
30906;1123;77282;116
30906;1123;77282;7
30906;1123;77282;2
30906;1123;77282;25
30906;1123;77282;25
30906;1123;77282;7
30906;1123;77282;45
30906;1123;77282;139
30906;1123;77282;37
30906;1123;77282;441
30906;1123;77282;223
30906;1123;77282;20
30906;1123;77282;12
30906;1123;77282;391
30906;1123;77282;528
30906;1123;77282;1
30906;1123;77282;0
30906;1123;77282;10
30906;1123;77282;15
30906;1123;77282;15
30906;1123;77282;33
30906;1123;77282;0
30906;1123;77282;23
30906;1123;77282;11
30906;1123;77282;32
30906;1123;77282;48
30906;1123;77282;30
30906;1123;77282;57
30906;1123;77282;11
30906;1123;77282;483
30906;1123;77282;424
30906;1123;77282;335
30906;1123;77282;517
30906;1123;77282;13
30906;1123;77282;37
30906;1123;77282;7
30906;1123;77282;64
30906;1123;77282;15
30906;1123;77282;7
30906;1123;77282;8
30906;1123;77282;754
30906;1123;77282;137
30906;1123;77282;87
30906;1123;77282;15
30906;1123;77282;37
30906;1123;77282;502
30906;1123;77282;81
30906;1123;77282;6
30906;1123;77282;111
30906;1123;77282;45
30906;1123;77282;63
30906;1123;77282;22
30906;1123;77282;3619
30906;1123;77282;1594
30906;1123;77282;1376
30906;1123;77282;713
30906;1123;77282;9
30906;1123;77282;3
30906;1123;77282;16
30906;1123;77282;170
30906;1123;77282;26
30906;1123;77282;333
30906;1123;77282;35
30906;1123;77282;5
30906;1123;77282;216
30906;1123;77282;0
30906;1123;77282;6
30906;1123;77282;6
30906;1123;77282;16
30906;1123;77282;4
30906;1123;77282;8
30906;1123;77282;17
30906;1123;77282;8
30906;1123;77282;11
30906;1123;77282;49
30906;1123;77282;34
30906;1123;77282;33
30906;1123;77282;68
30906;1123;77282;1
30906;1123;77282;50
30906;1123;77282;28
30906;1123;77282;1
30906;1123;77282;38
30906;1123;77282;1
30906;1123;77282;112
30906;1123;77282;223
30906;1123;77282;7
30906;1123;77282;37
30906;1123;77282;279
30906;1123;77282;1
30906;1123;77282;8
30906;1123;77282;293
30906;1123;77282;405
30906;1123;77282;61
30906;1123;77282;69
30906;1123;77282;12
30906;1123;77282;84
30906;1123;77282;625
30906;1123;77282;35
30906;1123;77282;9
30906;1123;77282;104
30906;1123;77282;15
30906;1123;77282;86
30906;1123;77282;11
30906;1123;77282;54
30906;1123;77282;5
30906;1123;77282;48
30906;1123;77282;0
30906;1123;77282;359
30906;1123;77282;23
30906;1123;77282;47
30906;1123;77282;4
30906;1123;77282;71
30906;1123;77282;16
30906;1123;77282;216
30906;1123;77282;651
30906;1123;77282;1068
30906;1123;77282;5
30906;1123;77282;148
30906;1123;77282;1594
30906;1123;77282;332
30906;1123;77282;88
30906;1123;77282;700
30906;1123;77282;40
30906;1123;77282;25
30906;1123;77282;11
30906;1123;77282;471
30906;1123;77282;2399
30906;1123;77282;153
30906;1123;77282;20
30906;1123;77282;55
30906;1123;77282;9
30906;1123;77282;29
30906;1123;77282;0
30906;1123;77282;145
30906;1123;77282;11
30906;1123;77282;122
30906;1123;77282;104
30906;1123;77282;4
30906;1123;77282;1486
30906;1123;77282;15
30906;1123;77282;21
30906;1123;77282;15
30906;1123;77282;1
30906;1123;77282;60
30906;1123;77282;70
30906;1123;77282;13
30906;1123;77282;7
30906;1123;77282;297
30906;1123;77282;121
30906;1123;77282;62
30906;1123;77282;10
30906;1123;77282;55
30906;1123;77282;12
30906;1123;77282;99
30906;1123;77282;318
30906;1123;77282;244
30906;1123;77282;2
30906;1123;77282;36
30906;1123;77282;14
30906;1123;77282;4
30906;1123;77282;21
30906;1123;77282;96
30906;1123;77282;52
30906;1123;77282;8
30906;1123;77282;549
30906;1123;77282;38
30906;1123;77282;75
30906;1123;77282;452
30906;1123;77282;5
30906;1123;77282;4
30906;1123;77282;49
30906;1123;77282;270
30906;1123;77282;900
30906;1123;77282;26
30906;1123;77282;19
30906;1123;77282;21
30906;1123;77282;5
30906;1123;77282;2
30906;1123;77282;554
30906;1123;77282;32
30906;1123;77282;93
30906;1123;77282;23
30906;1123;77282;10
30906;1123;77282;3
30906;1123;77282;28
30906;1123;77282;106
30906;1123;77282;323
30906;1123;77282;22
30906;1123;77282;123
30906;1123;77282;864
30906;1123;77282;51
30906;1123;77282;30
30906;1123;77282;51
30906;1123;77282;3
30906;1123;77282;0
30906;1123;77282;10
30906;1123;77282;18
30906;1123;77282;19
30906;1123;77282;124
30906;1123;77282;308
30906;1123;77282;184
30906;1123;77282;146
30906;1123;77282;5
30906;1123;77282;13
30906;1123;77282;114
30906;1123;77282;1
30906;1123;77282;12
30906;1123;77282;21
30906;1123;77282;13
30906;1123;77282;46
30906;1123;77282;126
30906;1123;77282;294
30906;1123;77282;891
30906;1123;77282;127
30906;1123;77282;221
30906;1123;77282;122
30906;1123;77282;289
30906;1123;77282;957
30900;1123;19465;2
30900;1123;19465;9
30900;1123;19465;192
30900;1123;19465;56
30900;1123;19465;3
30900;1123;19465;17
30900;1123;19465;25
30900;1123;19465;7
30900;1123;19465;201
30900;1123;19465;0
30900;1123;19465;146
30900;1123;19465;23
30900;1123;19465;7
30900;1123;19465;6
30900;1123;19465;6
30900;1123;19465;313
30900;1123;19465;46
30900;1123;19465;11
30900;1123;19465;4
30900;1123;19465;28
30900;1123;19465;8
30900;1123;19465;229
30900;1123;19465;18
30900;1123;19465;21
30900;1123;19465;720
30900;1123;19465;0
30900;1123;19465;13
30900;1123;19465;27
30900;1123;19465;141
30900;1123;19465;70
