ID;C2011_2012;Surface;SurfaceVeg
47;1310;1279477;0.002
47;1310;1279477;0.459
47;1310;1279477;1.525
47;1310;1279477;0.209
47;1310;1279477;0.090
47;1310;1279477;7.228
47;1310;1279477;0.385
47;1310;1279477;36.214
47;1310;1279477;98.036
47;1310;1279477;5.049
47;1310;1279477;3.118
47;1310;1279477;53.094
47;1310;1279477;4.895
47;1310;1279477;19.890
47;1310;1279477;4.262
47;1310;1279477;21.979
47;1310;1279477;3.489
47;1310;1279477;22.885
47;1310;1279477;29.716
47;1310;1279477;106.244
47;1310;1279477;71.889
47;1310;1279477;35.919
47;1310;1279477;11.884
47;1310;1279477;4.703
47;1310;1279477;20.130
47;1310;1279477;1.056
47;1310;1279477;3.973
47;1310;1279477;8.279
47;1310;1279477;4.353
47;1310;1279477;4.565
47;1310;1279477;2.941
47;1310;1279477;0.291
47;1310;1279477;16.527
47;1310;1279477;11.266
47;1310;1279477;27.329
47;1310;1279477;0.026
47;1310;1279477;0.016
47;1310;1279477;9.836
47;1310;1279477;853.411
47;1310;1279477;28.592
47;1310;1279477;14.863
47;1310;1279477;8.418
47;1310;1279477;5.842
47;1310;1279477;2.929
47;1310;1279477;25.855
47;1310;1279477;9.202
47;1310;1279477;45.032
47;1310;1279477;68.251
47;1310;1279477;15.393
47;1310;1279477;6.105
47;1310;1279477;31.699
47;1310;1279477;13.294
47;1310;1279477;0.262
47;1310;1279477;19.978
47;1310;1279477;2.115
47;1310;1279477;2.082
47;1310;1279477;20.104
47;1310;1279477;122.173
47;1310;1279477;277.878
47;1310;1279477;1097.508
47;1310;1279477;33.082
47;1310;1279477;59.030
47;1310;1279477;20.116
47;1310;1279477;0.045
47;1310;1279477;11.350
47;1310;1279477;2.751
47;1310;1279477;177.838
47;1310;1279477;4.505
47;1310;1279477;3.698
47;1310;1279477;8.347
47;1310;1279477;7.489
47;1310;1279477;18.301
47;1310;1279477;4.078
47;1310;1279477;178.239
47;1310;1279477;5.531
47;1310;1279477;7.538
47;1310;1279477;3.539
47;1310;1279477;11.154
47;1310;1279477;3.255
47;1310;1279477;0.969
47;1310;1279477;11.719
47;1310;1279477;6.056
47;1310;1279477;2.860
47;1310;1279477;7.415
47;1310;1279477;94.649
47;1310;1279477;4.681
47;1310;1279477;5.428
47;1310;1279477;4.224
47;1310;1279477;5.502
47;1310;1279477;522.657
47;1310;1279477;15.366
47;1310;1279477;43.271
47;1310;1279477;8.158
47;1310;1279477;4.475
47;1310;1279477;17.055
47;1310;1279477;133.323
47;1310;1279477;29.348
47;1310;1279477;15.732
47;1310;1279477;21.317
47;1310;1279477;3.304
47;1310;1279477;33.997
47;1310;1279477;37.210
47;1310;1279477;69.072
47;1310;1279477;3063.656
47;1310;1279477;29.734
47;1310;1279477;15.164
47;1310;1279477;7.079
47;1310;1279477;0.784
47;1310;1279477;399.242
47;1310;1279477;367.902
47;1310;1279477;1251.151
47;1310;1279477;3.992
47;1310;1279477;63.291
47;1310;1279477;3.576
47;1310;1279477;17.960
47;1310;1279477;618.300
47;1310;1279477;1014.994
47;1310;1279477;368.558
47;1310;1279477;1702.389
47;1310;1279477;3102.956
47;1310;1279477;11.522
47;1310;1279477;29.122
47;1310;1279477;5.705
47;1310;1279477;8.330
47;1310;1279477;55.682
47;1310;1279477;2.822
47;1310;1279477;9.291
47;1310;1279477;4.312
47;1310;1279477;6.798
47;1310;1279477;3.016
47;1310;1279477;10.145
47;1310;1279477;8.467
47;1310;1279477;2.877
47;1310;1279477;3.052
47;1310;1279477;13.544
47;1310;1279477;76.190
47;1310;1279477;12.609
47;1310;1279477;101.108
47;1310;1279477;17.283
47;1310;1279477;0.182
47;1310;1279477;5.025
47;1310;1279477;0.561
47;1310;1279477;0.296
47;1310;1279477;6.798
47;1310;1279477;3.975
47;1310;1279477;2.020
47;1310;1279477;110.560
47;1310;1279477;109.993
47;1310;1279477;51.759
47;1310;1279477;157.546
47;1310;1279477;81.127
47;1310;1279477;73.231
47;1310;1279477;120.766
47;1310;1279477;29.767
47;1310;1279477;59.343
47;1310;1279477;14.960
47;1310;1279477;10.205
47;1310;1279477;0.032
47;1310;1279477;0.954
47;1310;1279477;0.521
47;1310;1279477;6.852
47;1310;1279477;1.402
47;1310;1279477;64.132
47;1310;1279477;107.618
47;1310;1279477;36.516
47;1310;1279477;66.932
47;1310;1279477;69.318
47;1310;1279477;20.759
47;1310;1279477;6.499
47;1310;1279477;3.934
47;1310;1279477;23.601
47;1310;1279477;13.542
47;1310;1279477;42.117
47;1310;1279477;13.602
47;1310;1279477;0.004
47;1310;1279477;56.158
47;1310;1279477;144.183
47;1310;1279477;1.030
47;1310;1279477;17.984
47;1310;1279477;2.175
47;1310;1279477;1.906
47;1310;1279477;3.021
47;1310;1279477;10.477
47;1310;1279477;35.746
47;1310;1279477;31.776
47;1310;1279477;2.832
47;1310;1279477;7.110
47;1310;1279477;12.890
47;1310;1279477;29.648
47;1310;1279477;9.802
47;1310;1279477;6.479
47;1310;1279477;27.205
47;1310;1279477;4.548
47;1310;1279477;18.546
47;1310;1279477;40.703
47;1310;1279477;0.428
47;1310;1279477;5.921
47;1310;1279477;130.108
47;1310;1279477;61.571
47;1310;1279477;1.996
47;1310;1279477;0.355
47;1310;1279477;96.448
47;1310;1279477;350.651
47;1310;1279477;377.864
47;1310;1279477;118.633
47;1310;1279477;59.958
47;1310;1279477;99.456
47;1310;1279477;15.540
47;1310;1279477;28.392
47;1310;1279477;18.181
47;1310;1279477;36.164
47;1310;1279477;2.295
47;1310;1279477;10.089
47;1310;1279477;3.351
47;1310;1279477;48.972
47;1310;1279477;6.153
47;1310;1279477;16.090
47;1310;1279477;22.323
47;1310;1279477;16.858
47;1310;1279477;5.705
47;1310;1279477;5.012
47;1310;1279477;0.000
47;1310;1279477;0.013
47;1310;1279477;3.325
