ID;C2011_2012;Surface;SurfaceVeg
30391;143;7473;4.689
30391;143;7473;0.227
30391;143;7473;28.457
30391;143;7473;11.262
30391;143;7473;2.541
30391;143;7473;24.733
30391;143;7473;5.497
30391;143;7473;11.106
30391;143;7473;485.617
30391;143;7473;168.018
30391;143;7473;176.518
30391;143;7473;41.992
30391;143;7473;28.502
30391;143;7473;14.203
30391;143;7473;13.339
30391;143;7473;255.781
30391;143;7473;4.349
30391;143;7473;46.534
30391;143;7473;151.981
30391;143;7473;14.06
30391;143;7473;108.306
30391;143;7473;27.765
30391;143;7473;11.602
30391;143;7473;3.689
30391;143;7473;34.72
30391;143;7473;549.243
30391;143;7473;845.634
30391;143;7473;175.233
30391;143;7473;418.71
30339;1411;10598;2.406
30339;1411;10598;7.133
30339;1411;10598;7.578
30339;1411;10598;4.622
30339;1411;10598;1.752
30339;1411;10598;34.749
30339;1411;10598;86.162
30339;1411;10598;10.713
30339;1411;10598;63.933
30339;1411;10598;0.45
30339;1411;10598;8.915
30339;1411;10598;27.899
30339;1411;10598;119.358
30339;1411;10598;200.697
30339;1411;10598;0.916
30339;1411;10598;803.713
30339;1411;10598;3.091
30339;1411;10598;14.036
30339;1411;10598;1816.788
30339;1411;10598;62.776
30339;1411;10598;158.518
30339;1411;10598;0.474
30339;1411;10598;134.302
30339;1411;10598;119.654
30339;1411;10598;11.046
30339;1411;10598;204.558
30339;1411;10598;842.015
30339;1411;10598;18.16
30339;1411;10598;23.664
30339;1411;10598;15.641
30339;1411;10598;3.667
30339;1411;10598;21.786
30339;1411;10598;4.234
30339;1411;10598;0.136
30339;1411;10598;1.701
30339;1411;10598;30.45
30339;1411;10598;1841.572
30339;1411;10598;469.902
30339;1411;10598;386.541
30339;1411;10598;662.776
30339;1411;10598;1615.674
30233;1411;25697;19.259
30233;1411;25697;65.139
30233;1411;25697;120.035
30233;1411;25697;4.027
30233;1411;25697;47.517
30233;1411;25697;5.034
30233;1411;25697;4.337
30233;1411;25697;6.062
30233;1411;25697;76.54
30233;1411;25697;0.064
30233;1411;25697;49.013
30233;1411;25697;2.382
30233;1411;25697;185.907
30233;1411;25697;183.9
30233;1411;25697;119.423
30233;1411;25697;156.737
30233;1411;25697;2.762
30233;1411;25697;13.957
30233;1411;25697;527.798
30233;1411;25697;474.232
30233;1411;25697;51.494
30233;1411;25697;314.801
30233;1411;25697;168.58
30233;1411;25697;23.864
30233;1411;25697;17.869
30233;1411;25697;16.997
30233;1411;25697;19.521
30233;1411;25697;28.206
30233;1411;25697;73.689
30233;1411;25697;24.574
30233;1411;25697;202.856
30233;1411;25697;262.506
30233;1411;25697;417.848
30233;1411;25697;3.351
30233;1411;25697;2.447
30233;1411;25697;0.236
30233;1411;25697;7.295
30233;1411;25697;0.279
30233;1411;25697;5.888
30233;1411;25697;16.12
30233;1411;25697;13.012
30233;1411;25697;316.08
30233;1411;25697;75.943
30233;1411;25697;36.098
30233;1411;25697;33.69
30233;1411;25697;0.627
30233;1411;25697;0.429
30233;1411;25697;6.282
30233;1411;25697;4.081
30233;1411;25697;76.282
30233;1411;25697;59.253
30233;1411;25697;956.517
30233;1411;25697;39.308
30233;1411;25697;7468.116
30233;1411;25697;2822.814
30233;1411;25697;4987.016
30233;1411;25697;1834.724
30233;1411;25697;1032.412
30233;1411;25697;333.39
30312;143;6919;24.027
30312;143;6919;48.835
30312;143;6919;8.645
30312;143;6919;2.555
30312;143;6919;408.759
30312;143;6919;74.812
30312;143;6919;159.001
30312;143;6919;517.605
30312;143;6919;1618.739
30312;143;6919;22.313
30312;143;6919;39.406
30312;143;6919;71.128
30312;143;6919;11.333
30312;143;6919;52.652
30312;143;6919;9.899
30312;143;6919;76.117
30312;143;6919;27.538
30312;143;6919;8.247
30312;143;6919;95.754
30312;143;6919;43.991
30312;143;6919;28.858
30312;143;6919;0.267
30018;1412;65137;0.359
30018;1412;65137;15.345
30018;1412;65137;8.863
30018;1412;65137;7.721
30018;1412;65137;10.001
30018;1412;65137;15.601
30018;1412;65137;5.782
30018;1412;65137;74.41
30018;1412;65137;20.678
30018;1412;65137;137.616
30018;1412;65137;9.974
30018;1412;65137;67.238
30018;1412;65137;7.795
30018;1412;65137;75.754
30018;1412;65137;18.012
30018;1412;65137;5.946
30018;1412;65137;7.591
30018;1412;65137;0.698
30018;1412;65137;304.179
30018;1412;65137;54.253
30018;1412;65137;110.208
30018;1412;65137;6.652
30018;1412;65137;0.013
30018;1412;65137;152.928
30018;1412;65137;12.973
30018;1412;65137;5.55
30018;1412;65137;19.503
30018;1412;65137;1.302
30018;1412;65137;18.6
30018;1412;65137;30.534
30018;1412;65137;9.248
30018;1412;65137;12.368
30018;1412;65137;56.376
30018;1412;65137;28.268
30018;1412;65137;23.884
30018;1412;65137;26.024
30018;1412;65137;32.601
30018;1412;65137;19.271
30018;1412;65137;45.083
30018;1412;65137;7.025
30018;1412;65137;550.702
30018;1412;65137;10.771
30018;1412;65137;0.053
30018;1412;65137;0.303
30018;1412;65137;1080.252
30018;1412;65137;1.173
30018;1412;65137;4.619
30018;1412;65137;45.149
30018;1412;65137;30.916
30018;1412;65137;224.43
30018;1412;65137;9.001
30018;1412;65137;31.607
30018;1412;65137;25.156
30018;1412;65137;33.923
30018;1412;65137;7.45
30018;1412;65137;39.866
30018;1412;65137;6.431
30018;1412;65137;8.402
30018;1412;65137;839.481
30018;1412;65137;9.617
30018;1412;65137;144.537
30018;1412;65137;32.638
30018;1412;65137;80.302
30018;1412;65137;0.409
30018;1412;65137;97.315
30018;1412;65137;0.714
30018;1412;65137;1.396
30018;1412;65137;324.093
30018;1412;65137;497.052
30018;1412;65137;5.275
30018;1412;65137;28.372
30018;1412;65137;5.344
30018;1412;65137;11.748
30018;1412;65137;9.059
30018;1412;65137;8.837
30018;1412;65137;13.723
30018;1412;65137;2.132
30018;1412;65137;122.115
30018;1412;65137;676.387
30018;1412;65137;1934.653
30018;1412;65137;23.57
30018;1412;65137;104.053
30018;1412;65137;236.108
30018;1412;65137;6.234
30018;1412;65137;30.257
30018;1412;65137;29.583
30018;1412;65137;155.395
30018;1412;65137;571.619
30018;1412;65137;470.108
30018;1412;65137;134.667
30018;1412;65137;104.838
30018;1412;65137;18.283
30018;1412;65137;1.742
30018;1412;65137;52.336
30018;1412;65137;5.074
30018;1412;65137;73.174
30018;1412;65137;4.514
30018;1412;65137;7.315
30018;1412;65137;23.811
30018;1412;65137;43.521
30018;1412;65137;6.407
30018;1412;65137;6.207
30018;1412;65137;213.14
