fid;ID;C2011_2012;LIB_2012.;C2012_NIV2;LIB2012_N2;C2012_NIV1;LIB2012_N1;SURFACE_M2;SURFACE_HA;PERIMETRE;SOURCE2012;FIAB_2012;Surface;Forbois;Ripi;Area;Align_haie;NUM_COMMUN;NOM_COMMUN;Niv1;Niv2;NivFinal;SourceID;SurfaceVeg
152;31969;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;7322.9072;0.7323;416.98;BD ORTHO 2011;75;7323;0;0;6.84206;0;482;Strasbourg;1;12;124;4;3.152
152;31969;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;7322.9072;0.7323;416.98;BD ORTHO 2011;75;7323;0;0;536.628;0;482;Strasbourg;1;13;134;6;123.071
152;31969;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;7322.9072;0.7323;416.98;BD ORTHO 2011;75;7323;0;0;536.628;0;482;Strasbourg;1;13;134;6;75.536
152;31969;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;7322.9072;0.7323;416.98;BD ORTHO 2011;75;7323;0;0;6.31439;0;482;Strasbourg;1;13;134;6;4.483
152;31969;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;7322.9072;0.7323;416.98;BD ORTHO 2011;75;7323;0;0;11.9047;0;482;Strasbourg;1;13;134;6;9.182
152;31969;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;7322.9072;0.7323;416.98;BD ORTHO 2011;75;7323;0;0;115.483;0;482;Strasbourg;1;12;124;4;104.83
152;31969;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;7322.9072;0.7323;416.98;BD ORTHO 2011;75;7323;0;0;121.116;0;482;Strasbourg;1;12;124;4;119.347
152;31969;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;7322.9072;0.7323;416.98;BD ORTHO 2011;75;7323;0;0;61.3083;0;482;Strasbourg;1;12;124;4;11.562
152;31969;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;7322.9072;0.7323;416.98;BD ORTHO 2011;75;7323;0;0;61.3083;0;482;Strasbourg;1;12;124;4;49.189
152;31969;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;7322.9072;0.7323;416.98;BD ORTHO 2011;75;7323;0;0;13.0132;0;482;Strasbourg;1;13;134;6;8.828
152;31969;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;7322.9072;0.7323;416.98;BD ORTHO 2011;75;7323;0;0;13.0132;0;482;Strasbourg;1;13;134;6;0.067
152;31969;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;7322.9072;0.7323;416.98;BD ORTHO 2011;75;7323;0;0;10.4424;0;482;Strasbourg;1;13;134;6;10.454
152;31969;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;7322.9072;0.7323;416.98;BD ORTHO 2011;75;7323;0;0;89.1128;0;482;Strasbourg;1;12;124;4;88.931
152;31969;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;7322.9072;0.7323;416.98;BD ORTHO 2011;75;7323;0;0;89.1128;0;482;Strasbourg;1;12;124;4;0.284
152;31969;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;7322.9072;0.7323;416.98;BD ORTHO 2011;75;7323;0;0;3894.3;0;482;Strasbourg;1;13;134;6;1485.864
152;31969;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;7322.9072;0.7323;416.98;BD ORTHO 2011;75;7323;0;0;3894.3;0;482;Strasbourg;1;13;134;6;20.514
152;31969;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;7322.9072;0.7323;416.98;BD ORTHO 2011;75;7323;0;0;3894.3;0;482;Strasbourg;1;13;134;6;0.713
152;31969;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;7322.9072;0.7323;416.98;BD ORTHO 2011;75;7323;0;0;3894.3;0;482;Strasbourg;1;13;134;6;2232.091
152;31969;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;7322.9072;0.7323;416.98;BD ORTHO 2011;75;7323;0;0;31.5321;0;482;Strasbourg;1;13;134;6;31.272
152;31969;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;7322.9072;0.7323;416.98;BD ORTHO 2011;75;7323;1;0;5216.67;0;482;Strasbourg;1;12;121;4;1105.208
152;31969;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;7322.9072;0.7323;416.98;BD ORTHO 2011;75;7323;1;0;5216.67;0;482;Strasbourg;1;12;121;4;138.47
152;31969;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;7322.9072;0.7323;416.98;BD ORTHO 2011;75;7323;1;0;5216.67;0;482;Strasbourg;1;12;121;4;1067.565
152;31969;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;7322.9072;0.7323;416.98;BD ORTHO 2011;75;7323;0;0;9;0;482;Strasbourg;1;12;124;4;0.403
152;31969;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;7322.9072;0.7323;416.98;BD ORTHO 2011;75;7323;0;0;86.6151;0;482;Strasbourg;1;13;134;6;67.646
149;31794;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;13357.4856;1.3357;500.52;BD ORTHO 2011;75;13359;0;0;11;0;482;Strasbourg;1;12;124;4;10.836
149;31794;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;13357.4856;1.3357;500.52;BD ORTHO 2011;75;13359;0;0;26.1265;0;482;Strasbourg;1;12;124;4;26.987
149;31794;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;13357.4856;1.3357;500.52;BD ORTHO 2011;75;13359;0;0;6.5;0;482;Strasbourg;1;12;124;4;6.376
149;31794;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;13357.4856;1.3357;500.52;BD ORTHO 2011;75;13359;0;0;32.0026;0;482;Strasbourg;1;13;134;6;28.821
149;31794;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;13357.4856;1.3357;500.52;BD ORTHO 2011;75;13359;0;0;43.1991;0;482;Strasbourg;1;12;124;4;6.682
149;31794;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;13357.4856;1.3357;500.52;BD ORTHO 2011;75;13359;0;0;43.1991;0;482;Strasbourg;1;12;124;4;36.814
149;31794;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;13357.4856;1.3357;500.52;BD ORTHO 2011;75;13359;0;0;15.0918;0;482;Strasbourg;1;12;124;4;12.344
149;31794;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;13357.4856;1.3357;500.52;BD ORTHO 2011;75;13359;0;0;34.6445;0;482;Strasbourg;1;12;124;4;3.928
149;31794;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;13357.4856;1.3357;500.52;BD ORTHO 2011;75;13359;0;0;34.6445;0;482;Strasbourg;1;12;124;4;18.207
149;31794;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;13357.4856;1.3357;500.52;BD ORTHO 2011;75;13359;0;0;34.6445;0;482;Strasbourg;1;12;124;4;5.488
149;31794;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;13357.4856;1.3357;500.52;BD ORTHO 2011;75;13359;0;0;34.6445;0;482;Strasbourg;1;12;124;4;5.927
